"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"15.09.2024","2.923,00","2.899,00","2.977,50","2.886,50","","0,64%"
"08.09.2024","2.904,50","2.709,00","2.928,50","2.681,00","","6,88%"
"01.09.2024","2.717,50","2.887,50","2.891,00","2.704,00","","-6,20%"
"25.08.2024","2.897,00","2.916,00","2.947,00","2.859,00","","-0,52%"
"18.08.2024","2.912,00","2.775,00","2.923,50","2.764,00","","5,41%"
"11.08.2024","2.762,50","2.738,00","2.792,00","2.676,50","","0,95%"
"04.08.2024","2.736,50","2.653,00","2.759,00","2.553,00","","3,15%"
"28.07.2024","2.653,00","2.681,50","2.726,50","2.618,50","","-0,60%"
"21.07.2024","2.669,00","2.728,00","2.725,00","2.654,00","158,70K","-3,87%"
"14.07.2024","2.776,50","2.964,00","2.960,00","2.778,00","126,78K","-5,66%"
"07.07.2024","2.943,00","2.989,00","2.988,50","2.927,00","100,50K","-1,93%"
"30.06.2024","3.001,00","2.975,00","3.012,00","2.934,00","100,12K","2,16%"
"23.06.2024","2.937,50","2.861,00","2.975,00","2.858,00","99,64K","3,29%"
"16.06.2024","2.844,00","2.805,00","2.875,00","2.786,00","95,32K","2,76%"
"09.06.2024","2.767,50","2.816,00","2.861,50","2.770,50","147,07K","0,02%"
"02.06.2024","2.767,00","2.980,00","2.976,00","2.880,50","146,93K","-6,82%"
"26.05.2024","2.969,50","3.106,00","3.116,00","3.041,00","79,87K","-2,86%"
"19.05.2024","3.057,00","3.090,00","3.143,00","3.051,50","143,79K","0,86%"
"12.05.2024","3.031,00","2.964,00","2.998,00","2.960,00","161,78K","3,43%"
"05.05.2024","2.930,50","2.919,00","2.947,00","2.891,50","125,55K","0,95%"
"28.04.2024","2.903,00","2.900,00","2.931,00","2.846,00","170,54K","2,07%"
"21.04.2024","2.844,00","2.818,00","2.869,50","2.775,00","149,74K","-0,28%"
"14.04.2024","2.852,00","2.790,00","2.841,00","2.725,00","212,04K","0,83%"
"07.04.2024","2.828,50","2.665,00","2.839,00","2.663,00","319,06K","7,20%"
